=== cycle 138770  time 1742728.813024  dt 11.16660
   i        T[K]         rho          v_r         rt_de       delta_u
  52  6.6224e+03  1.1154e-10  -1.3931e+06  -3.00560e+00   1.26708e+02
  53  2.0000e+02  5.6170e-12  -6.0690e+06   5.84389e-03   1.42268e+02
  54  2.0000e+02  4.3899e-12  -2.0002e+06   5.27026e-03  -7.91367e+00
  55  4.1577e+02  1.4627e-11  -7.9693e+05   2.96476e-02   1.05495e+00
  56  1.5847e+03  1.7702e-11  -5.5060e+05   1.11248e+00   2.23123e+00
  57  1.7086e+03  1.4529e-11  -4.8156e+05   6.98901e-01   1.52902e+00
  58  1.7819e+03  9.5669e-12  -4.6197e+05   3.41918e-01   9.12468e-01
=== cycle 138794  time 1742893.941436  dt 2.15820
   i        T[K]         rho          v_r         rt_de       delta_u
  48  1.4266e+03  6.1837e-10  -8.9050e+05   3.34705e+00  -4.94967e+00
  49  6.6296e+02  4.9606e-10  -8.6136e+05   9.75318e-02  -5.57686e+00
  50  8.2488e+02  3.7048e-10  -8.5343e+05   8.30640e-02  -3.44575e+00
  51  1.5554e+03  2.4844e-10  -8.9121e+05  -1.75222e+01  -7.29250e+00
  52  7.4529e+03  1.0520e-10  -1.4831e+06  -5.15720e+00   1.63574e+02
  53  2.0000e+02  4.0008e-12  -7.9298e+06   4.17092e-03   1.79895e+02
  54  2.0000e+02  5.0664e-12  -1.7561e+06   5.39753e-03  -2.45135e+00
  55  6.3415e+02  1.5081e-11  -7.7553e+05   6.08940e-03   9.47602e-01
  56  1.7489e+03  1.8043e-11  -5.4031e+05   2.15562e+00   3.81155e+00
  57  1.7743e+03  1.4750e-11  -4.7175e+05   8.73055e-01   1.88735e+00
  58  1.8105e+03  9.7081e-12  -4.5260e+05   3.67321e-01   9.39177e-01
=== cycle 138795  time 1742896.099635  dt 1.65326
   i        T[K]         rho          v_r         rt_de       delta_u
  48  1.5884e+03  6.1602e-10  -8.8900e+05   5.86109e+00   4.08081e+00
